Date	Sunrise	Sunset	Daylength
10 Feb	7:23 AM	5:17 PM	09:53:49 (+3:19)
11 Feb	7:22 AM	5:19 PM	09:57:09 (+3:20)
12 Feb	7:20 AM	5:21 PM	10:00:31 (+3:22)
13 Feb	7:18 AM	5:22 PM	10:03:54 (+3:23)
14 Feb	7:17 AM	5:24 PM	10:07:19 (+3:25)
15 Feb	7:15 AM	5:26 PM	10:10:45 (+3:26)
16 Feb	7:13 AM	5:27 PM	10:14:11 (+3:26)
17 Feb	7:11 AM	5:29 PM	10:17:39 (+3:28)
18 Feb	7:09 AM	5:31 PM	10:21:07 (+3:28)
19 Feb	7:08 AM	5:32 PM	10:24:37 (+3:30)
20 Feb	7:06 AM	5:34 PM	10:28:08 (+3:31)
21 Feb	7:04 AM	5:35 PM	10:31:39 (+3:31)
22 Feb	7:02 AM	5:37 PM	10:35:11 (+3:32)
23 Feb	7:00 AM	5:39 PM	10:38:44 (+3:33)
24 Feb	6:58 AM	5:40 PM	10:42:18 (+3:34)
25 Feb	6:56 AM	5:42 PM	10:45:52 (+3:34)
26 Feb	6:54 AM	5:44 PM	10:49:27 (+3:35)
27 Feb	6:52 AM	5:45 PM	10:53:02 (+3:35)
28 Feb	6:50 AM	5:47 PM	10:56:38 (+3:36)
01 Mar	6:48 AM	5:49 PM	11:00:15 (+3:37)
02 Mar	6:46 AM	5:50 PM	11:03:51 (+3:36)
03 Mar	6:44 AM	5:52 PM	11:07:29 (+3:38)
04 Mar	6:42 AM	5:53 PM	11:11:07 (+3:38)
05 Mar	6:40 AM	5:55 PM	11:14:44 (+3:37)
06 Mar	6:38 AM	5:57 PM	11:18:23 (+3:39)
07 Mar	6:36 AM	5:58 PM	11:22:02 (+3:39)
08 Mar	6:34 AM	6:00 PM	11:25:41 (+3:39)
09 Mar	6:32 AM	6:01 PM	11:29:19 (+3:38)
10 Mar	6:30 AM	6:03 PM	11:32:59 (+3:40)
11 Mar	6:28 AM	6:04 PM	11:36:38 (+3:39)
12 Mar	6:26 AM	6:06 PM	11:40:18 (+3:40)
13 Mar	6:24 AM	6:08 PM	11:43:58 (+3:40)
14 Mar	6:21 AM	6:09 PM	11:47:38 (+3:40)
15 Mar	6:19 AM	6:11 PM	11:51:17 (+3:39)
16 Mar	6:17 AM	6:12 PM	11:54:58 (+3:41)
17 Mar	6:15 AM	6:14 PM	11:58:37 (+3:39)
18 Mar	6:13 AM	6:15 PM	12:02:18 (+3:41)
19 Mar	6:11 AM	6:17 PM	12:05:58 (+3:40)
20 Mar	6:09 AM	6:18 PM	12:09:38 (+3:40)
21 Mar	6:07 AM	6:20 PM	12:13:18 (+3:40)
22 Mar	6:04 AM	6:21 PM	12:16:58 (+3:40)
23 Mar	6:02 AM	6:23 PM	12:20:38 (+3:40)
24 Mar	6:00 AM	6:25 PM	12:24:18 (+3:40)
25 Mar	5:58 AM	6:26 PM	12:27:57 (+3:39)
26 Mar	5:56 AM	6:28 PM	12:31:36 (+3:39)
27 Mar	5:54 AM	6:29 PM	12:35:16 (+3:40)
28 Mar	6:52 AM	7:31 PM	12:38:55 (+3:39)
29 Mar	6:50 AM	7:32 PM	12:42:34 (+3:39)
30 Mar	6:47 AM	7:34 PM	12:46:13 (+3:39)
31 Mar	6:45 AM	7:35 PM	12:49:51 (+3:38)
01 Apr	6:43 AM	7:37 PM	12:53:29 (+3:38)
02 Apr	6:41 AM	7:38 PM	12:57:07 (+3:38)
03 Apr	6:39 AM	7:40 PM	13:00:44 (+3:37)
04 Apr	6:37 AM	7:41 PM	13:04:21 (+3:37)
05 Apr	6:35 AM	7:43 PM	13:07:58 (+3:37)
06 Apr	6:33 AM	7:44 PM	13:11:34 (+3:36)
07 Apr	6:31 AM	7:46 PM	13:15:10 (+3:36)
08 Apr	6:29 AM	7:47 PM	13:18:45 (+3:35)
09 Apr	6:27 AM	7:49 PM	13:22:20 (+3:35)
10 Apr	6:24 AM	7:50 PM	13:25:54 (+3:34)
11 Apr	6:22 AM	7:52 PM	13:29:28 (+3:34)
12 Apr	6:20 AM	7:53 PM	13:33:00 (+3:32)
13 Apr	6:18 AM	7:55 PM	13:36:33 (+3:33)
14 Apr	6:16 AM	7:56 PM	13:40:05 (+3:32)
15 Apr	6:14 AM	7:58 PM	13:43:36 (+3:31)
16 Apr	6:12 AM	7:59 PM	13:47:06 (+3:30)
17 Apr	6:10 AM	8:01 PM	13:50:36 (+3:30)
18 Apr	6:08 AM	8:02 PM	13:54:05 (+3:29)
19 Apr	6:06 AM	8:04 PM	13:57:32 (+3:27)
20 Apr	6:05 AM	8:05 PM	14:00:59 (+3:27)
21 Apr	6:03 AM	8:07 PM	14:04:25 (+3:26)
22 Apr	6:01 AM	8:09 PM	14:07:50 (+3:25)
23 Apr	5:59 AM	8:10 PM	14:11:14 (+3:24)
24 Apr	5:57 AM	8:12 PM	14:14:36 (+3:22)
25 Apr	5:55 AM	8:13 PM	14:17:58 (+3:22)
26 Apr	5:53 AM	8:15 PM	14:21:19 (+3:21)
27 Apr	5:51 AM	8:16 PM	14:24:38 (+3:19)
28 Apr	5:50 AM	8:18 PM	14:27:55 (+3:17)
29 Apr	5:48 AM	8:19 PM	14:31:11 (+3:16)
30 Apr	5:46 AM	8:21 PM	14:34:26 (+3:15)
01 May	5:44 AM	8:22 PM	14:37:39 (+3:13)
02 May	5:43 AM	8:23 PM	14:40:51 (+3:12)
03 May	5:41 AM	8:25 PM	14:44:01 (+3:10)
04 May	5:39 AM	8:26 PM	14:47:09 (+3:08)
05 May	5:38 AM	8:28 PM	14:50:15 (+3:06)
06 May	5:36 AM	8:29 PM	14:53:19 (+3:04)
07 May	5:34 AM	8:31 PM	14:56:22 (+3:03)
08 May	5:33 AM	8:32 PM	14:59:22 (+3:00)
09 May	5:31 AM	8:34 PM	15:02:20 (+2:58)
10 May	5:30 AM	8:35 PM	15:05:17 (+2:57)
11 May	5:28 AM	8:37 PM	15:08:11 (+2:54)
12 May	5:27 AM	8:38 PM	15:11:01 (+2:50)
13 May	5:25 AM	8:39 PM	15:13:51 (+2:50)
14 May	5:24 AM	8:41 PM	15:16:37 (+2:46)
15 May	5:23 AM	8:42 PM	15:19:20 (+2:43)
16 May	5:21 AM	8:43 PM	15:22:01 (+2:41)
17 May	5:20 AM	8:45 PM	15:24:39 (+2:38)
18 May	5:19 AM	8:46 PM	15:27:14 (+2:35)
19 May	5:18 AM	8:47 PM	15:29:46 (+2:32)
20 May	5:16 AM	8:49 PM	15:32:14 (+2:28)
21 May	5:15 AM	8:50 PM	15:34:40 (+2:26)
22 May	5:14 AM	8:51 PM	15:37:02 (+2:22)
23 May	5:13 AM	8:52 PM	15:39:21 (+2:19)
24 May	5:12 AM	8:54 PM	15:41:36 (+2:15)
25 May	5:11 AM	8:55 PM	15:43:48 (+2:12)
26 May	5:10 AM	8:56 PM	15:45:55 (+2:07)
27 May	5:09 AM	8:57 PM	15:48:00 (+2:05)
28 May	5:08 AM	8:58 PM	15:49:59 (+1:59)
29 May	5:08 AM	8:59 PM	15:51:55 (+1:56)
30 May	5:07 AM	9:01 PM	15:53:47 (+1:52)
31 May	5:06 AM	9:02 PM	15:55:34 (+1:47)
01 Jun	5:05 AM	9:03 PM	15:57:18 (+1:44)
02 Jun	5:05 AM	9:04 PM	15:58:57 (+1:39)
03 Jun	5:04 AM	9:04 PM	16:00:31 (+1:34)
04 Jun	5:03 AM	9:05 PM	16:02:01 (+1:30)
05 Jun	5:03 AM	9:06 PM	16:03:26 (+1:25)
06 Jun	5:02 AM	9:07 PM	16:04:46 (+1:20)
07 Jun	5:02 AM	9:08 PM	16:06:01 (+1:15)
08 Jun	5:02 AM	9:09 PM	16:07:12 (+1:11)
09 Jun	5:01 AM	9:09 PM	16:08:18 (+1:06)
10 Jun	5:01 AM	9:10 PM	16:09:18 (+1:00)
11 Jun	5:01 AM	9:11 PM	16:10:14 (+0:56)
12 Jun	5:00 AM	9:11 PM	16:11:04 (+0:50)
13 Jun	5:00 AM	9:12 PM	16:11:49 (+0:45)
14 Jun	5:00 AM	9:13 PM	16:12:29 (+0:40)
15 Jun	5:00 AM	9:13 PM	16:13:04 (+0:35)
16 Jun	5:00 AM	9:14 PM	16:13:34 (+0:30)
17 Jun	5:00 AM	9:14 PM	16:13:58 (+0:24)
18 Jun	5:00 AM	9:14 PM	16:14:16 (+0:18)
19 Jun	5:00 AM	9:15 PM	16:14:30 (+0:14)
20 Jun	5:00 AM	9:15 PM	16:14:37 (+0:07)
21 Jun	5:01 AM	9:15 PM	16:14:39 (+0:02)
22 Jun	5:01 AM	9:15 PM	16:14:36 (-0:03)
23 Jun	5:01 AM	9:16 PM	16:14:28 (-0:08)
24 Jun	5:01 AM	9:16 PM	16:14:14 (-0:14)
25 Jun	5:02 AM	9:16 PM	16:13:56 (-0:18)
26 Jun	5:02 AM	9:16 PM	16:13:31 (-0:25)
27 Jun	5:03 AM	9:16 PM	16:13:01 (-0:30)
28 Jun	5:03 AM	9:16 PM	16:12:26 (-0:35)
29 Jun	5:04 AM	9:15 PM	16:11:45 (-0:41)
30 Jun	5:04 AM	9:15 PM	16:11:01 (-0:44)
01 Jul	5:05 AM	9:15 PM	16:10:10 (-0:51)
02 Jul	5:06 AM	9:15 PM	16:09:14 (-0:56)
03 Jul	5:06 AM	9:14 PM	16:08:13 (-1:01)
04 Jul	5:07 AM	9:14 PM	16:07:07 (-1:06)
05 Jul	5:08 AM	9:14 PM	16:05:56 (-1:11)
06 Jul	5:09 AM	9:13 PM	16:04:41 (-1:15)
07 Jul	5:09 AM	9:13 PM	16:03:21 (-1:20)
08 Jul	5:10 AM	9:12 PM	16:01:55 (-1:26)
09 Jul	5:11 AM	9:12 PM	16:00:26 (-1:29)
10 Jul	5:12 AM	9:11 PM	15:58:52 (-1:34)
11 Jul	5:13 AM	9:10 PM	15:57:13 (-1:39)
12 Jul	5:14 AM	9:09 PM	15:55:31 (-1:42)
13 Jul	5:15 AM	9:09 PM	15:53:43 (-1:48)
14 Jul	5:16 AM	9:08 PM	15:51:52 (-1:51)
15 Jul	5:17 AM	9:07 PM	15:49:57 (-1:55)
16 Jul	5:18 AM	9:06 PM	15:47:58 (-1:59)
17 Jul	5:19 AM	9:05 PM	15:45:55 (-2:03)
18 Jul	5:20 AM	9:04 PM	15:43:48 (-2:07)
19 Jul	5:22 AM	9:03 PM	15:41:37 (-2:11)
20 Jul	5:23 AM	9:02 PM	15:39:23 (-2:14)
21 Jul	5:24 AM	9:01 PM	15:37:06 (-2:17)
22 Jul	5:25 AM	9:00 PM	15:34:45 (-2:21)
23 Jul	5:26 AM	8:59 PM	15:32:21 (-2:24)
24 Jul	5:28 AM	8:58 PM	15:29:52 (-2:29)
25 Jul	5:29 AM	8:56 PM	15:27:22 (-2:30)
26 Jul	5:30 AM	8:55 PM	15:24:49 (-2:33)
27 Jul	5:32 AM	8:54 PM	15:22:13 (-2:36)
28 Jul	5:33 AM	8:52 PM	15:19:33 (-2:40)
29 Jul	5:34 AM	8:51 PM	15:16:52 (-2:41)
30 Jul	5:35 AM	8:50 PM	15:14:07 (-2:45)
31 Jul	5:37 AM	8:48 PM	15:11:20 (-2:47)
01 Aug	5:38 AM	8:47 PM	15:08:31 (-2:49)
02 Aug	5:40 AM	8:45 PM	15:05:39 (-2:52)
03 Aug	5:41 AM	8:44 PM	15:02:45 (-2:54)
04 Aug	5:42 AM	8:42 PM	14:59:49 (-2:56)
05 Aug	5:44 AM	8:41 PM	14:56:51 (-2:58)
06 Aug	5:45 AM	8:39 PM	14:53:50 (-3:01)
07 Aug	5:46 AM	8:37 PM	14:50:49 (-3:01)
08 Aug	5:48 AM	8:36 PM	14:47:44 (-3:05)
09 Aug	5:49 AM	8:34 PM	14:44:39 (-3:05)
10 Aug	5:51 AM	8:32 PM	14:41:32 (-3:07)
11 Aug	5:52 AM	8:30 PM	14:38:23 (-3:09)
12 Aug	5:54 AM	8:29 PM	14:35:12 (-3:11)
13 Aug	5:55 AM	8:27 PM	14:32:00 (-3:12)
14 Aug	5:56 AM	8:25 PM	14:28:46 (-3:14)
15 Aug	5:58 AM	8:23 PM	14:25:31 (-3:15)
16 Aug	5:59 AM	8:22 PM	14:22:15 (-3:16)
17 Aug	6:01 AM	8:20 PM	14:18:58 (-3:17)
18 Aug	6:02 AM	8:18 PM	14:15:39 (-3:19)
19 Aug	6:04 AM	8:16 PM	14:12:19 (-3:20)
20 Aug	6:05 AM	8:14 PM	14:08:59 (-3:20)
21 Aug	6:06 AM	8:12 PM	14:05:36 (-3:23)
22 Aug	6:08 AM	8:10 PM	14:02:14 (-3:22)
23 Aug	6:09 AM	8:08 PM	13:58:50 (-3:24)
24 Aug	6:11 AM	8:06 PM	13:55:25 (-3:25)
25 Aug	6:12 AM	8:04 PM	13:52:00 (-3:25)
26 Aug	6:14 AM	8:02 PM	13:48:34 (-3:26)
27 Aug	6:15 AM	8:00 PM	13:45:06 (-3:28)
28 Aug	6:17 AM	7:58 PM	13:41:39 (-3:27)
29 Aug	6:18 AM	7:56 PM	13:38:11 (-3:28)
30 Aug	6:19 AM	7:54 PM	13:34:41 (-3:30)
31 Aug	6:21 AM	7:52 PM	13:31:11 (-3:30)
01 Sep	6:22 AM	7:50 PM	13:27:41 (-3:30)
02 Sep	6:24 AM	7:48 PM	13:24:11 (-3:30)
03 Sep	6:25 AM	7:46 PM	13:20:38 (-3:33)
04 Sep	6:27 AM	7:44 PM	13:17:07 (-3:31)
05 Sep	6:28 AM	7:42 PM	13:13:34 (-3:33)
06 Sep	6:29 AM	7:39 PM	13:10:02 (-3:32)
07 Sep	6:31 AM	7:37 PM	13:06:29 (-3:33)
08 Sep	6:32 AM	7:35 PM	13:02:55 (-3:34)
09 Sep	6:34 AM	7:33 PM	12:59:21 (-3:34)
10 Sep	6:35 AM	7:31 PM	12:55:47 (-3:34)
11 Sep	6:37 AM	7:29 PM	12:52:12 (-3:35)
12 Sep	6:38 AM	7:27 PM	12:48:38 (-3:34)
13 Sep	6:40 AM	7:25 PM	12:45:02 (-3:36)
14 Sep	6:41 AM	7:22 PM	12:41:27 (-3:35)
15 Sep	6:42 AM	7:20 PM	12:37:52 (-3:35)
16 Sep	6:44 AM	7:18 PM	12:34:15 (-3:37)
17 Sep	6:45 AM	7:16 PM	12:30:40 (-3:35)
18 Sep	6:47 AM	7:14 PM	12:27:03 (-3:37)
19 Sep	6:48 AM	7:12 PM	12:23:27 (-3:36)
20 Sep	6:50 AM	7:09 PM	12:19:50 (-3:37)
21 Sep	6:51 AM	7:07 PM	12:16:14 (-3:36)
22 Sep	6:53 AM	7:05 PM	12:12:37 (-3:37)
23 Sep	6:54 AM	7:03 PM	12:09:01 (-3:36)
24 Sep	6:55 AM	7:01 PM	12:05:24 (-3:37)
25 Sep	6:57 AM	6:59 PM	12:01:47 (-3:37)
26 Sep	6:58 AM	6:57 PM	11:58:11 (-3:36)
27 Sep	7:00 AM	6:54 PM	11:54:34 (-3:37)
28 Sep	7:01 AM	6:52 PM	11:50:58 (-3:36)
29 Sep	7:03 AM	6:50 PM	11:47:20 (-3:38)
30 Sep	7:04 AM	6:48 PM	11:43:44 (-3:36)
01 Oct	7:06 AM	6:46 PM	11:40:07 (-3:37)
02 Oct	7:07 AM	6:44 PM	11:36:31 (-3:36)
03 Oct	7:09 AM	6:42 PM	11:32:55 (-3:36)
04 Oct	7:10 AM	6:39 PM	11:29:18 (-3:37)
05 Oct	7:12 AM	6:37 PM	11:25:43 (-3:35)
06 Oct	7:13 AM	6:35 PM	11:22:08 (-3:35)
07 Oct	7:15 AM	6:33 PM	11:18:32 (-3:36)
08 Oct	7:16 AM	6:31 PM	11:14:57 (-3:35)
09 Oct	7:18 AM	6:29 PM	11:11:22 (-3:35)
10 Oct	7:19 AM	6:27 PM	11:07:47 (-3:35)
11 Oct	7:21 AM	6:25 PM	11:04:14 (-3:33)
12 Oct	7:22 AM	6:23 PM	11:00:39 (-3:35)
13 Oct	7:24 AM	6:21 PM	10:57:06 (-3:33)
14 Oct	7:25 AM	6:19 PM	10:53:33 (-3:33)
15 Oct	7:27 AM	6:17 PM	10:50:01 (-3:32)
16 Oct	7:28 AM	6:15 PM	10:46:29 (-3:32)
17 Oct	7:30 AM	6:13 PM	10:42:57 (-3:32)
18 Oct	7:32 AM	6:11 PM	10:39:27 (-3:30)
19 Oct	7:33 AM	6:09 PM	10:35:57 (-3:30)
20 Oct	7:35 AM	6:07 PM	10:32:27 (-3:30)
21 Oct	7:36 AM	6:05 PM	10:28:58 (-3:29)
22 Oct	7:38 AM	6:03 PM	10:25:31 (-3:27)
23 Oct	7:39 AM	6:01 PM	10:22:03 (-3:28)
24 Oct	7:41 AM	6:00 PM	10:18:37 (-3:26)
25 Oct	7:43 AM	5:58 PM	10:15:11 (-3:26)
26 Oct	7:44 AM	5:56 PM	10:11:48 (-3:23)
27 Oct	7:46 AM	5:54 PM	10:08:24 (-3:24)
28 Oct	7:47 AM	5:52 PM	10:05:02 (-3:22)
29 Oct	7:49 AM	5:51 PM	10:01:41 (-3:21)
30 Oct	7:51 AM	5:49 PM	09:58:21 (-3:20)
31 Oct	6:52 AM	4:47 PM	09:55:03 (-3:18)
01 Nov	6:54 AM	4:46 PM	09:51:45 (-3:18)
02 Nov	6:55 AM	4:44 PM	09:48:29 (-3:16)
03 Nov	6:57 AM	4:42 PM	09:45:16 (-3:13)
04 Nov	6:59 AM	4:41 PM	09:42:03 (-3:13)
05 Nov	7:00 AM	4:39 PM	09:38:52 (-3:11)
06 Nov	7:02 AM	4:38 PM	09:35:44 (-3:08)
07 Nov	7:03 AM	4:36 PM	09:32:36 (-3:08)
08 Nov	7:05 AM	4:35 PM	09:29:31 (-3:05)
09 Nov	7:07 AM	4:33 PM	09:26:27 (-3:04)
10 Nov	7:08 AM	4:32 PM	09:23:26 (-3:01)
11 Nov	7:10 AM	4:30 PM	09:20:27 (-2:59)
12 Nov	7:11 AM	4:29 PM	09:17:30 (-2:57)
13 Nov	7:13 AM	4:28 PM	09:14:36 (-2:54)
14 Nov	7:15 AM	4:26 PM	09:11:44 (-2:52)
15 Nov	7:16 AM	4:25 PM	09:08:55 (-2:49)
16 Nov	7:18 AM	4:24 PM	09:06:09 (-2:46)
17 Nov	7:19 AM	4:23 PM	09:03:24 (-2:45)
18 Nov	7:21 AM	4:22 PM	09:00:44 (-2:40)
19 Nov	7:22 AM	4:20 PM	08:58:06 (-2:38)
20 Nov	7:24 AM	4:19 PM	08:55:32 (-2:34)
21 Nov	7:25 AM	4:18 PM	08:53:00 (-2:32)
22 Nov	7:27 AM	4:17 PM	08:50:32 (-2:28)
23 Nov	7:28 AM	4:16 PM	08:48:07 (-2:25)
24 Nov	7:30 AM	4:16 PM	08:45:47 (-2:20)
25 Nov	7:31 AM	4:15 PM	08:43:29 (-2:18)
26 Nov	7:33 AM	4:14 PM	08:41:16 (-2:13)
27 Nov	7:34 AM	4:13 PM	08:39:07 (-2:09)
28 Nov	7:35 AM	4:12 PM	08:37:02 (-2:05)
29 Nov	7:37 AM	4:12 PM	08:35:00 (-2:02)
30 Nov	7:38 AM	4:11 PM	08:33:03 (-1:57)
01 Dec	7:39 AM	4:11 PM	08:31:11 (-1:52)
02 Dec	7:41 AM	4:10 PM	08:29:24 (-1:47)
03 Dec	7:42 AM	4:10 PM	08:27:41 (-1:43)
04 Dec	7:43 AM	4:09 PM	08:26:02 (-1:39)
05 Dec	7:44 AM	4:09 PM	08:24:28 (-1:34)
06 Dec	7:46 AM	4:09 PM	08:23:00 (-1:28)
07 Dec	7:47 AM	4:08 PM	08:21:36 (-1:24)
08 Dec	7:48 AM	4:08 PM	08:20:18 (-1:18)
09 Dec	7:49 AM	4:08 PM	08:19:05 (-1:13)
10 Dec	7:50 AM	4:08 PM	08:17:57 (-1:08)
11 Dec	7:51 AM	4:08 PM	08:16:54 (-1:03)
12 Dec	7:52 AM	4:08 PM	08:15:57 (-0:57)
13 Dec	7:53 AM	4:08 PM	08:15:05 (-0:52)
14 Dec	7:54 AM	4:08 PM	08:14:19 (-0:46)
15 Dec	7:54 AM	4:08 PM	08:13:38 (-0:41)
16 Dec	7:55 AM	4:08 PM	08:13:04 (-0:34)
17 Dec	7:56 AM	4:08 PM	08:12:35 (-0:29)
18 Dec	7:57 AM	4:09 PM	08:12:12 (-0:23)
19 Dec	7:57 AM	4:09 PM	08:11:54 (-0:18)
20 Dec	7:58 AM	4:09 PM	08:11:42 (-0:12)
21 Dec	7:58 AM	4:10 PM	08:11:37 (-0:05)
22 Dec	7:59 AM	4:10 PM	08:11:37 (+0:00)
23 Dec	7:59 AM	4:11 PM	08:11:43 (+0:06)
24 Dec	8:00 AM	4:12 PM	08:11:55 (+0:12)
25 Dec	8:00 AM	4:12 PM	08:12:13 (+0:18)
26 Dec	8:00 AM	4:13 PM	08:12:37 (+0:24)
27 Dec	8:01 AM	4:14 PM	08:13:06 (+0:29)
28 Dec	8:01 AM	4:14 PM	08:13:41 (+0:35)
29 Dec	8:01 AM	4:15 PM	08:14:22 (+0:41)
30 Dec	8:01 AM	4:16 PM	08:15:08 (+0:46)
31 Dec	8:01 AM	4:17 PM	08:16:01 (+0:53)
